country,year,per_pr_allpr.cov_q5_tot
East Asia & Pacific,2010-20W,15.312696783006999
East Asia & Pacific,2010-20S,31.532917465181896
Europe & Central Asia,2010-20W,26.3727422523876
Europe & Central Asia,2010-20S,22.7620944639236
High income,2010-20W,23.8518611394435
High income,2010-20S,15.573095456307302
Latin America & Caribbean,2010-20W,13.0829745597519
Latin America & Caribbean,2010-20S,23.05566165236789
Low income,2010-20W,27.993460621954004
Low income,2010-20S,37.0895641474193
Lower middle income,2010-20W,45.4159116769908
Lower middle income,2010-20S,33.5467089069264
Middle East & North Africa,2010-20W,52.8042012094057
Middle East & North Africa,2010-20S,53.7831038366044
South Asia,2010-20W,43.7148719854033
South Asia,2010-20S,28.23065841846759
Sub-Saharan Africa,2010-20W,35.1458648455488
Sub-Saharan Africa,2010-20S,34.3296405021155
Upper middle income,2010-20W,14.002884541402299
Upper middle income,2010-20S,27.1434576598493
World,2010-20W,25.4401919675362
World,2010-20S,30.6851436645527
Afghanistan,2011,3.9033201404444897
Afghanistan,2007,4.63309895589826
Albania,2018,17.5392120965437
Albania,2017,15.8653950744205
Albania,2016,2.7536318004876397
Albania,2015,2.8923128387316597
Albania,2012,28.6300927853
Albania,2008,37.1097814731987
Angola,2018,41.4490514090182
Argentina,2021,7.18823334551195
Argentina,2020,11.7013030293223
Argentina,2019,8.011868591636489
Argentina,2018,7.280684905786609
Argentina,2017,6.304473920928761
Argentina,2016,7.06516391312952
Argentina,2013,5.66159620031016
Argentina,2010,5.134677015240889
Argentina,2006,6.19996939950825
Armenia,2019,29.7859224364247
Armenia,2018,29.9089510785296
Armenia,2017,19.0968856889885
Armenia,2016,19.4561685629867
Armenia,2015,22.10823640528759
Armenia,2014,20.433717820804688
Armenia,2013,20.460970269538688
Armenia,2012,16.8844770593552
Armenia,2011,19.5696163617096
Armenia,2010,18.847803719090088
Armenia,2009,17.86438949440359
Armenia,2008,19.3634422181306
Azerbaijan,2015,18.886531058135798
Bangladesh,2016,38.25177241714799
Bangladesh,2010,28.5839792588382
Bangladesh,2005,43.717376024653
Belarus,2019,60.358629808541295
Belarus,2018,63.347433736810096
Belarus,2017,58.1650582724613
Belarus,2016,62.37162202630909
Belarus,2015,63.59327932101599
Belarus,2014,61.7589943111472
Belarus,2013,59.89350179108101
Belarus,2012,57.9699850822457
Belarus,2010,65.8457366898896
Belarus,2009,69.4020761062864
Belarus,2008,59.2530341486677
Belize,2009,25.654443481911
Benin,2018,36.3308037095504
Benin,2003,29.5383482033232
Bhutan,2012,7.60778146608265
Bolivia,2020,17.763238515959088
Bolivia,2019,24.3620595931666
Bolivia,2018,22.612483317264388
Bolivia,2017,19.9655240369042
Bolivia,2016,21.449661837693988
Bolivia,2015,18.0429215241483
