country,year,per_pr_allpr.adq_q5_tot
East Asia & Pacific,2010-20W,18.3215248556559
East Asia & Pacific,2010-20S,38.4988048741928
Europe & Central Asia,2010-20W,18.3970550364613
Europe & Central Asia,2010-20S,36.8776891845651
High income,2010-20W,17.5357304477851
High income,2010-20S,17.0860790741866
Latin America & Caribbean,2010-20W,28.457800971574
Latin America & Caribbean,2010-20S,21.839561078348797
Low income,2010-20W,17.9879530251224
Low income,2010-20S,15.638617906969198
Lower middle income,2010-20W,27.6638100173461
Lower middle income,2010-20S,28.9210507129938
Middle East & North Africa,2010-20W,34.37933395011739
Middle East & North Africa,2010-20S,19.9623462707128
South Asia,2010-20W,19.7230816881647
South Asia,2010-20S,26.672173912800503
Sub-Saharan Africa,2010-20W,15.89660603555669
Sub-Saharan Africa,2010-20S,16.2001103688487
Upper middle income,2010-20W,16.7644263648091
Upper middle income,2010-20S,27.405505409266002
World,2010-20W,20.2875436771141
World,2010-20S,24.9592638720082
Afghanistan,2011,30.598537160558998
Afghanistan,2007,29.485408562990003
Albania,2018,
Albania,2017,
Albania,2016,
Albania,2015,
Albania,2012,10.3776540926345
Albania,2008,6.838718409529069
Angola,2018,14.3364232902409
Argentina,2021,15.055177062551001
Argentina,2020,19.53054127397999
Argentina,2019,20.11413923462049
Argentina,2018,21.569438374747598
Argentina,2017,21.1398403178245
Argentina,2016,1.6214630036596698
Argentina,2013,21.9739732013049
Argentina,2010,29.406451747809797
Argentina,2006,30.027421322306104
Armenia,2019,54.9399691381944
Armenia,2018,21.65337927905239
Armenia,2017,35.98645724455119
Armenia,2016,34.4884428687997
Armenia,2015,41.483660224147
Armenia,2014,56.0036072376084
Armenia,2013,38.61918808646439
Armenia,2012,45.11915649214469
Armenia,2011,45.156207222294
Armenia,2010,35.932355326154095
Armenia,2009,30.4618392842196
Armenia,2008,29.463432456009198
Azerbaijan,2015,0.14948495176759
Bangladesh,2016,6.36778336038162
Bangladesh,2010,50.258158976204605
Bangladesh,2005,32.7285967506471
Belarus,2019,12.6195796791744
Belarus,2018,11.7583767888914
Belarus,2017,12.9764423283299
Belarus,2016,14.9416985934276
Belarus,2015,13.1592534108841
Belarus,2014,14.935281209268
Belarus,2013,11.685383970964699
Belarus,2012,10.59194829896929
Belarus,2010,10.2476164505231
Belarus,2009,10.4938472638009
Belarus,2008,8.09761788498769
Belize,2009,10.03475692909139
Benin,2018,10.8233142098563
Benin,2003,18.1487642747743
Bhutan,2012,13.885350365847602
Bolivia,2020,14.4414481494315
Bolivia,2019,16.3456097916218
Bolivia,2018,19.1368236697359
Bolivia,2017,19.48932734652489
Bolivia,2016,16.1961734699923
Bolivia,2015,20.1729238513019
Bolivia,2014,15.57722274005289
Bolivia,2012,26.894531819185303
Bolivia,2011,27.230186739683397
Bolivia,2009,24.14373951069789
Bolivia,2008,30.6103767852165
Bolivia,2007,32.7157463834507
Bolivia,2006,30.220373455349097
Bosnia and Herzegovina,2015,15.683814935474599
Bosnia and Herzegovina,2007,19.3472847733456
Brazil,2020,19.4440500124587
Brazil,2019,18.0180715120933
Brazil,2018,18.3135529626541
Brazil,2017,20.6674086458337
Brazil,2016,19.2466251408275
Brazil,2015,19.9004034644297
Brazil,2012,9.44025779472279
Brazil,2011,8.58100838888717
Brazil,2009,25.91025236989629
Brazil,2006,30.814745041339698
Bulgaria,2007,14.9466935675934
Burkina Faso,2018,11.0949952910608
Burkina Faso,2014,8.6252756737435
Burkina Faso,2009,15.1235556888814
Burkina Faso,2003,53.7977929332654
Cabo Verde,2007,8.779526618483139
Cambodia,2013,8.25344743705957
Cambodia,2008,9.74353326189579
Cameroon,2014,5.91966932785509
Cameroon,2007,25.39955721606229
Central African Republic,2008,6.83229892338505
Chad,2011,19.8640224955014
Chile,2020,11.9131928713975
Chile,2017,17.3998072898744
Chile,2015,15.8115099940319
Chile,2013,19.884754827016
Chile,2011,15.8429817378101
China,2013,10.83741251453909
Colombia,2020,
Colombia,2019,16.0952936103819
Colombia,2018,17.20960470779139
Colombia,2017,16.94894572860329
Colombia,2016,16.9613664992887
Colombia,2015,15.405553778742801
Colombia,2014,7.84991346079964
Colombia,2012,3.5928613885653
Colombia,2011,2.2145119427788797
Colombia,2010,2.80707256035221
Comoros,2004,5.3683988904411795
"Congo, Dem. Rep.",2012,24.6454858541649
"Congo, Dem. Rep.",2004,34.3136653601034
"Congo, Rep.",2005,11.110352427893599
Costa Rica,2020,12.0439314977701
Costa Rica,2019,13.6145875394218
Costa Rica,2018,14.2352429033707
Costa Rica,2017,13.240213737357202
Costa Rica,2016,13.880402548254601
Costa Rica,2015,11.4132773947066
Costa Rica,2014,12.1036270093628
Costa Rica,2012,15.5771849395749
Costa Rica,2011,13.138390936494702
Costa Rica,2010,12.128632662795889
Costa Rica,2008,12.8677031494518
Cote D'Ivoire,2018,13.4537204071751
Cote D'Ivoire,2015,23.8471574587244
Cote D'Ivoire,2008,20.839171333321797
Cote D'Ivoire,2002,28.7912294154978
Croatia,2014,5.25994920730591
Croatia,2011,10.26174259185789
