country,year,per_pr_allpr.adq_q2_tot
East Asia & Pacific,2010-20W,37.77305835072559
East Asia & Pacific,2010-20S,59.4876624072052
Europe & Central Asia,2010-20W,32.916062581591795
Europe & Central Asia,2010-20S,55.3717484820942
High income,2010-20W,17.454954811731
High income,2010-20S,16.470709210404
Latin America & Caribbean,2010-20W,40.6561940876061
Latin America & Caribbean,2010-20S,33.70027055801279
Low income,2010-20W,18.738883949357
Low income,2010-20S,16.9183973503164
Lower middle income,2010-20W,32.3623322211771
Lower middle income,2010-20S,42.4635398080625
Middle East & North Africa,2010-20W,27.1212465806054
Middle East & North Africa,2010-20S,18.403996322357898
South Asia,2010-20W,20.9105961589545
South Asia,2010-20S,28.454860669870204
Sub-Saharan Africa,2010-20W,16.9008938894648
Sub-Saharan Africa,2010-20S,18.8344221814899
Upper middle income,2010-20W,32.8631182890869
Upper middle income,2010-20S,38.8915043478379
World,2010-20W,30.8682951841911
World,2010-20S,34.3785524408314
Afghanistan,2011,34.83197963849809
Afghanistan,2007,47.378682102748996
Albania,2018,
Albania,2017,
Albania,2016,
Albania,2015,
Albania,2012,14.045256971567898
Albania,2008,10.71592408805599
Angola,2018,26.3106351483137
Argentina,2021,23.1408198625543
Argentina,2020,16.7420960024211
Argentina,2019,21.8552160265516
Argentina,2018,22.146695744525
Argentina,2017,20.8201728532042
Argentina,2016,7.38286315595645
Argentina,2013,31.273841206206
Argentina,2010,35.0933173671376
Argentina,2006,34.8820623451684
Armenia,2019,92.9381436533559
Armenia,2018,49.124001710470196
Armenia,2017,77.1840178645952
Armenia,2016,
Armenia,2015,
Armenia,2014,89.0247400775113
Armenia,2013,96.5058978044897
Armenia,2012,86.0742757209825
Armenia,2011,82.8193274279161
Armenia,2010,60.706686904957394
Armenia,2009,54.86497423602961
Armenia,2008,58.0545363524122
Azerbaijan,2015,0.13605583614193
Bangladesh,2016,7.9704230131940506
Bangladesh,2010,41.5222157510462
Bangladesh,2005,16.684181135658697
Belarus,2019,13.660576062648
Belarus,2018,11.2385021179084
