country,year,per_pr_allpr.adq_q3_tot
East Asia & Pacific,2010-20W,30.5474430592989
East Asia & Pacific,2010-20S,59.4253143728309
Europe & Central Asia,2010-20W,27.018289086068
Europe & Central Asia,2010-20S,46.806496611373696
High income,2010-20W,16.7858998022478
High income,2010-20S,16.71591478030649
Latin America & Caribbean,2010-20W,34.1841527821986
Latin America & Caribbean,2010-20S,28.2225207319321
Low income,2010-20W,14.0748112622938
Low income,2010-20S,13.44373110866009
Lower middle income,2010-20W,30.852988964295804
Lower middle income,2010-20S,41.464086154527
Middle East & North Africa,2010-20W,26.706804586065203
Middle East & North Africa,2010-20S,17.938910838299698
South Asia,2010-20W,20.283611892444288
South Asia,2010-20S,26.602455546166297
Sub-Saharan Africa,2010-20W,15.7900464960716
Sub-Saharan Africa,2010-20S,18.12615075612449
Upper middle income,2010-20W,26.425715264177903
Upper middle income,2010-20S,33.264652089243
World,2010-20W,26.266553028576002
World,2010-20S,31.335472503751998
Afghanistan,2011,27.60637144676109
Afghanistan,2007,45.0471944440873
Albania,2018,
Albania,2017,
Albania,2016,
Albania,2015,
Albania,2012,11.1961062273935
Albania,2008,11.02842733530209
Angola,2018,21.0744177829916
Argentina,2021,17.850876952140197
Argentina,2020,17.5368651208028
Argentina,2019,23.2813149550685
Argentina,2018,23.0006727535609
Argentina,2017,21.2179037535866
Argentina,2016,4.70991681137753
Argentina,2013,33.2106853868039
Argentina,2010,28.5513824672574
Argentina,2006,39.8929280866105
Armenia,2019,62.526716965282205
Armenia,2018,44.43641864098629
Armenia,2017,77.2714810963745
Armenia,2016,94.597393243214
Armenia,2015,99.4097644480605
Armenia,2014,73.0572482790732
Armenia,2013,76.2330325146016
Armenia,2012,73.2197243285568
Armenia,2011,77.297891995664
Armenia,2010,62.94093159067861
Armenia,2009,46.2808562884458
Armenia,2008,48.2594458460879
Azerbaijan,2015,0.12373713950014
Bangladesh,2016,7.6688831798813695
Bangladesh,2010,46.7443373875103
Bangladesh,2005,24.4950449545667
Belarus,2019,9.75832975382122
Belarus,2018,9.37252167628977
Belarus,2017,10.7000569261641
Belarus,2016,11.108490539424
Belarus,2015,10.708437903253989
Belarus,2014,12.5127825668505
Belarus,2013,12.1475063699218
Belarus,2012,11.110153207325189
Belarus,2010,10.1336171230219
Belarus,2009,10.3827050689382
Belarus,2008,7.60999622215007
Belize,2009,19.6913270947149
Benin,2018,7.63347693815305
Benin,2003,12.3133044437983
Bhutan,2012,9.98872626278125
Bolivia,2020,19.5389947749317
Bolivia,2019,19.6812639402078
Bolivia,2018,23.2017943169332
Bolivia,2017,20.1617202843974
Bolivia,2016,18.3727034821624
Bolivia,2015,20.77370727987469
Bolivia,2014,18.507034628109
Bolivia,2012,28.6530832569506
Bolivia,2011,24.8229174990826
Bolivia,2009,27.3911153894488
Bolivia,2008,27.6123566626656
Bolivia,2007,29.1617427862242
Bolivia,2006,35.62748011488449
Bosnia and Herzegovina,2015,18.1562545544902
Bosnia and Herzegovina,2007,28.7317481893405
Brazil,2020,15.212365638604899
Brazil,2019,16.050591327460488
Brazil,2018,17.4050469874852
Brazil,2017,16.9321079675235
Brazil,2016,17.8383352109284
Brazil,2015,16.97641501044829
Brazil,2012,26.121857599092802
Brazil,2011,40.6722751906899
Brazil,2009,24.2134055952925
Brazil,2006,28.4226497858359
Bulgaria,2007,8.960560026461529
Burkina Faso,2018,5.98560433676315
Burkina Faso,2014,4.62213031932966
Burkina Faso,2009,9.04018571879978
Burkina Faso,2003,69.9641266670424
Cabo Verde,2007,19.485128856091098
Cambodia,2013,7.07172007095945
Cambodia,2008,9.7981966049271
Cameroon,2014,5.41414248586101
Cameroon,2007,14.0366192620159
Central African Republic,2008,5.91339193312309
Chad,2011,27.5615912950346
Chile,2020,11.6755290667665
Chile,2017,16.6782055560357
Chile,2015,17.8766766856594
Chile,2013,17.7219114082673
Chile,2011,19.509248410863698
China,2013,25.0305448815625
Colombia,2020,
Colombia,2019,19.3313415658428
Colombia,2018,18.6330670769614
Colombia,2017,18.44827305894419
Colombia,2016,17.506342875243
Colombia,2015,17.3640583401544
Colombia,2014,13.8073249304364
Colombia,2012,6.03138642438532
Colombia,2011,6.06393203229856
Colombia,2010,7.16822886430988
Comoros,2004,10.6399542668234
"Congo, Dem. Rep.",2012,20.7171304821536
"Congo, Dem. Rep.",2004,28.3515076690904
"Congo, Rep.",2005,22.255569159274398
Costa Rica,2020,21.553106631618
Costa Rica,2019,18.9020786756162
Costa Rica,2018,17.7939874528643
Costa Rica,2017,16.96192072572279
Costa Rica,2016,17.4300284327161
Costa Rica,2015,15.566427713605698
Costa Rica,2014,16.0507770789444
Costa Rica,2012,14.583564761165299
