country,year,per_allsp.adq_q3_tot
East Asia & Pacific,2010-20W,30.0768466045515
East Asia & Pacific,2010-20S,35.304114178803
Europe & Central Asia,2010-20W,43.5394367908456
Europe & Central Asia,2010-20S,54.4360474951892
High income,2010-20W,45.0715481699183
High income,2010-20S,39.3572716823537
Latin America & Caribbean,2010-20W,29.003554447885698
Latin America & Caribbean,2010-20S,21.178178667209
Low income,2010-20W,50.9710860400887
Low income,2010-20S,50.5942008627873
Lower middle income,2010-20W,13.03383515508659
Lower middle income,2010-20S,26.3594029035842
Middle East & North Africa,2010-20W,9.41340358283968
Middle East & North Africa,2010-20S,11.5621344111947
South Asia,2010-20W,7.228612435225299
South Asia,2010-20S,11.7367653546656
Sub-Saharan Africa,2010-20W,38.2916305163105
Sub-Saharan Africa,2010-20S,40.4586160307959
Upper middle income,2010-20W,31.7039126971151
Upper middle income,2010-20S,36.59120582946339
World,2010-20W,25.071760895932098
World,2010-20S,35.2639822471738
Afghanistan,2011,
Afghanistan,2007,31.6367868410098
Albania,2018,
Albania,2017,
Albania,2016,
Albania,2015,
Albania,2012,28.3354147182247
Albania,2008,26.4545273088621
Angola,2018,55.125525613697505
Argentina,2021,31.656976691182997
Argentina,2020,32.3595615975393
Argentina,2019,35.6053640840162
Argentina,2018,35.0194371918982
Argentina,2017,35.764905303335595
Argentina,2016,33.06434584344589
Argentina,2013,42.8772110340348
Argentina,2010,43.7706982873191
Argentina,2006,47.4143118746306
Armenia,2019,43.50734367004
Armenia,2018,44.649847394063
Armenia,2017,43.3685907138751
Armenia,2016,37.9122513690125
Armenia,2015,36.7119974142559
Armenia,2014,35.584219514901896
Armenia,2013,36.5738214507506
Armenia,2012,37.63530011978819
Armenia,2011,35.775279959462196
Armenia,2010,34.71892443645499
Armenia,2009,36.8569288047558
Armenia,2008,29.5722933454939
Azerbaijan,2015,2.85547963021585
Bangladesh,2016,4.34688800211707
Bangladesh,2010,6.8517365207082
Bangladesh,2005,19.6221783341776
Belarus,2019,60.528258108572
Belarus,2018,57.922216873652
Belarus,2017,58.8661653616058
Belarus,2016,79.976614074304
Belarus,2015,60.7453138348551
Belarus,2014,53.2615109592133
Belarus,2013,54.66151366166391
Belarus,2012,46.567540602475496
Belarus,2010,44.1233139361619
Belarus,2009,43.50128108027239
Belarus,2008,42.096705060885
Belize,2009,21.0074520549587
Benin,2018,20.24203862927659
Benin,2003,21.98450896018799
Bhutan,2012,34.55453452491129
Bolivia,2020,8.27048571765448
Bolivia,2019,6.81139208003697
Bolivia,2018,5.8568208221033
Bolivia,2017,5.7065574991112
Bolivia,2016,5.16930049575541
Bolivia,2015,4.86263855671646
Bolivia,2014,4.72191742640058
Bolivia,2012,10.7212252622243
Bolivia,2011,10.9091375357743
Bolivia,2009,15.6372360828695
Bolivia,2008,15.6890739160899
Bolivia,2007,22.81283002377979
Bolivia,2006,29.0166109119302
Bosnia and Herzegovina,2015,35.61965156052259
Bosnia and Herzegovina,2007,21.304170881348288
Brazil,2020,43.56575181605649
Brazil,2019,48.5105867910279
Brazil,2018,49.1652570090232
Brazil,2017,47.1768680088002
Brazil,2016,46.2131640912597
Brazil,2015,51.087707080641295
Brazil,2012,50.1568269823421
Brazil,2011,50.0909625220784
Brazil,2009,49.7900857815954
Brazil,2006,51.683813064621894
Bulgaria,2007,33.3483373342837
Burkina Faso,2018,12.1462230339139
Burkina Faso,2014,11.229975207847
Burkina Faso,2009,
Burkina Faso,2003,
Cabo Verde,2007,13.544499585088198
Cambodia,2013,21.5612754850578
Cambodia,2008,10.762411160986
Cameroon,2014,8.10239656689002
Cameroon,2007,32.621355506585296
Central African Republic,2008,
Chad,2011,24.2360376565337
Chile,2020,24.3147042646145
Chile,2017,17.973027361450498
Chile,2015,11.284864163637
Chile,2013,17.791703707739
Chile,2011,19.0390563462469
China,2013,34.27042394493639
Colombia,2020,21.1072664649046
Colombia,2019,17.40404456511549
Colombia,2018,16.96313795298669
Colombia,2017,15.865203024254502
Colombia,2016,15.84622379818289
Colombia,2015,15.666221360968699
Colombia,2014,13.063885903816999
Colombia,2012,9.38709022013624
Colombia,2011,10.6902749008275
Colombia,2010,10.7148161347889
Comoros,2004,23.0790054857123
"Congo, Dem. Rep.",2012,44.5012615927265
"Congo, Dem. Rep.",2004,24.0226465946429
"Congo, Rep.",2005,67.6362839095114
Costa Rica,2020,32.3691557088636
Costa Rica,2019,24.601839230676788
Costa Rica,2018,22.3328183461367
Costa Rica,2017,26.5953276123279
Costa Rica,2016,25.6889478263307
Costa Rica,2015,24.2009556539984
Costa Rica,2014,22.5220666226757
Costa Rica,2012,21.4442508177112
Costa Rica,2011,21.3171507676828
Costa Rica,2010,21.109023693435898
Costa Rica,2008,34.3157371040257
Cote D'Ivoire,2018,22.853010267704498
Cote D'Ivoire,2015,45.12364681013809
Cote D'Ivoire,2008,34.2474719060216
Cote D'Ivoire,2002,12.0905425652131
Croatia,2014,41.5733947753906
Croatia,2011,42.638229370117195
Croatia,2010,37.7066327623212
Croatia,2008,37.5078886610064
Djibouti,2012,30.048218899877998
Dominica,2002,24.323076486227198
Dominican Republic,2019,9.305087507030969
Dominican Republic,2018,7.51107296233854
Dominican Republic,2017,6.61459997901312
Dominican Republic,2016,10.1407532961282
Dominican Republic,2015,11.2166617703143
Dominican Republic,2014,10.4787330539463
Dominican Republic,2013,11.0971792562067
Dominican Republic,2012,9.10115453926773
Dominican Republic,2011,9.28199594102617
Dominican Republic,2010,8.45074881543038
Dominican Republic,2009,9.365809294305489
Dominican Republic,2008,9.61600690400812
Dominican Republic,2007,13.806784491657401
Ecuador,2020,15.795854944395
Ecuador,2019,21.7428704499873
Ecuador,2018,19.6070910736268
Ecuador,2017,16.059510336254192
Ecuador,2016,20.5571702594472
Ecuador,2015,15.656835293498201
Ecuador,2014,15.3857749222042
Ecuador,2012,15.3308429176115
Ecuador,2011,16.214612885519
Ecuador,2010,15.656414061824
Ecuador,2008,13.009815017622401
"Egypt, Arab Rep.",2017,
"Egypt, Arab Rep.",2008,13.947855350854399
El Salvador,2019,29.5752589600545
El Salvador,2018,33.4849937974313
El Salvador,2017,33.658139704022
El Salvador,2016,35.8456130001582
El Salvador,2015,32.5957247268165
El Salvador,2014,23.4142246489759
El Salvador,2012,18.03026263960979
El Salvador,2011,16.039964360762298
El Salvador,2010,17.083927260630798
El Salvador,2009,21.8861742805782
El Salvador,2008,28.3528687105284
El Salvador,2007,30.8493964321647
Eswatini,2016,11.5938803284133
Ethiopia,2018,6.663635695272049
Ethiopia,2015,10.6841170066257
