country,year,per_allsp.cov_q1_tot
East Asia & Pacific,2010-20W,68.5883214065431
East Asia & Pacific,2010-20S,48.2138892296863
Europe & Central Asia,2010-20W,71.0055204501101
Europe & Central Asia,2010-20S,67.0880405960695
High income,2010-20W,84.2252064635273
High income,2010-20S,82.6143981572838
Latin America & Caribbean,2010-20W,69.2768948907718
Latin America & Caribbean,2010-20S,71.4270615616281
Low income,2010-20W,21.5036720992325
Low income,2010-20S,22.0867053090182
Lower middle income,2010-20W,66.9049448119174
Lower middle income,2010-20S,42.7218412355281
Middle East & North Africa,2010-20W,60.89407955677479
Middle East & North Africa,2010-20S,54.6063604930826
South Asia,2010-20W,80.8015910393862
South Asia,2010-20S,40.6055145285743
Sub-Saharan Africa,2010-20W,26.971398104391298
Sub-Saharan Africa,2010-20S,31.1503632239288
Upper middle income,2010-20W,71.0708174289313
Upper middle income,2010-20S,67.3199775972643
World,2010-20W,65.4200335165185
World,2010-20S,50.048975436531194
Afghanistan,2011,12.466565804261
Afghanistan,2007,23.7481355323381
Albania,2018,58.83728930120991
Albania,2017,53.7889914739153
Albania,2016,5.21896516230242
Albania,2015,4.02055610612205
Albania,2012,60.5897622955557
Albania,2008,79.1365528890509
Angola,2018,6.56947309792317
Argentina,2021,73.7692217433029
Argentina,2020,78.70827258745
Argentina,2019,73.8119022588982
Argentina,2018,70.3949381065804
Argentina,2017,67.6009845849104
Argentina,2016,67.808406915952
Argentina,2013,60.384294510715094
Argentina,2010,41.2971846243903
Argentina,2006,37.3988605548455
Armenia,2019,72.6053759564865
Armenia,2018,77.5151152089982
Armenia,2017,78.479224727688
Armenia,2016,76.8609119972075
Armenia,2015,75.955774904402
Armenia,2014,73.1296273464633
Armenia,2013,70.2071342928757
Armenia,2012,72.1206591900439
Armenia,2011,68.4797794305477
Armenia,2010,71.1961369109332
Armenia,2009,67.9287339416614
Armenia,2008,70.6397746565356
Azerbaijan,2015,72.3108813672007
Bangladesh,2016,55.7450562603944
Bangladesh,2010,26.875096626636292
Bangladesh,2005,22.5197827544176
Belarus,2019,77.4192011898614
Belarus,2018,74.7140436542973
Belarus,2017,80.9611024983868
Belarus,2016,78.6845336538828
Belarus,2015,79.1032766634089
Belarus,2014,80.4624927788989
Belarus,2013,82.2700278511795
Belarus,2012,82.4900151526014
Belarus,2010,80.5623889085218
Belarus,2009,82.8142134224066
Belarus,2008,83.5918402592572
Belize,2009,42.0620540620981
Benin,2018,18.976530706726198
Benin,2003,3.6000640660327097
Bhutan,2012,4.122461251354579
Bolivia,2020,99.6217943264018
Bolivia,2019,89.5931713000844
Bolivia,2018,90.53687465627121
Bolivia,2017,90.86452359027528
Bolivia,2016,90.1547382671274
Bolivia,2015,87.6069375122873
Bolivia,2014,89.3061392812924
Bolivia,2012,88.4715831074736
Bolivia,2011,88.3488584535307
Bolivia,2009,90.20309428274001
Bolivia,2008,84.8820991239582
Bolivia,2007,72.6135333102634
Bolivia,2006,6.925250555732671
Bosnia and Herzegovina,2015,52.6537080375889
Bosnia and Herzegovina,2007,57.26718385763241
Brazil,2020,84.2362706303306
Brazil,2019,67.5012669152199
Brazil,2018,68.4646243139633
Brazil,2017,67.5215724703211
Brazil,2016,68.8559535619826
Brazil,2015,68.2976527558973
Brazil,2012,36.7693981244992
Brazil,2011,35.9372954107606
Brazil,2009,33.8665751846778
Brazil,2006,67.5716535059365
Bulgaria,2007,86.9262294678389
Burkina Faso,2018,54.77782970995
Burkina Faso,2014,1.8255403268839498
Burkina Faso,2009,
Burkina Faso,2003,31.4936366738153
Cabo Verde,2007,33.8298178528843
Cambodia,2013,0.9151401426637
Cambodia,2008,1.34179869051189
Cameroon,2014,1.05033402523609
Cameroon,2007,1.14494455561679
Central African Republic,2008,
Chad,2011,0.72524136546379
Chile,2020,88.9324148279659
Chile,2017,97.571608357554
Chile,2015,94.1570840072217
Chile,2013,96.3446005466223
Chile,2011,95.8402651706346
China,2013,74.9981409935798
Colombia,2020,33.18453969443979
Colombia,2019,43.434267926354295
Colombia,2018,46.1893494335273
Colombia,2017,48.5591285546741
Colombia,2016,49.9482718523909
Colombia,2015,53.139816377508495
Colombia,2014,81.6313955101842
Colombia,2012,61.3381722340099
Colombia,2011,63.5871486881267
Colombia,2010,66.6479592921562
Comoros,2004,0.8851109400084101
"Congo, Dem. Rep.",2012,5.48095159011788
"Congo, Dem. Rep.",2004,0.59014850678916
"Congo, Rep.",2005,4.88987720157568
Costa Rica,2020,93.13833484525401
Costa Rica,2019,88.9219695113908
Costa Rica,2018,89.1629071675541
Costa Rica,2017,88.6643615326706
Costa Rica,2016,86.6420030524817
Costa Rica,2015,86.0418800737202
Costa Rica,2014,83.2108330649694
Costa Rica,2012,80.1417494183371
Costa Rica,2011,82.9791877402663
Costa Rica,2010,82.2308904753705
Costa Rica,2008,84.642460539686
Cote D'Ivoire,2018,24.0196498432362
Cote D'Ivoire,2015,39.45472206679559
Cote D'Ivoire,2008,30.2751252411699
Cote D'Ivoire,2002,27.6750608018993
Croatia,2014,87.6779174804688
Croatia,2011,82.2281036376953
Croatia,2010,81.7555568481481
Croatia,2008,83.7308373448454
Djibouti,2012,35.6526226301212
Dominica,2002,26.0463639500905
Dominican Republic,2019,59.22725175350361
Dominican Republic,2018,66.69094573968
Dominican Republic,2017,66.0196035631913
Dominican Republic,2016,77.6351289091102
Dominican Republic,2015,41.4538723844123
Dominican Republic,2014,41.588476472504595
Dominican Republic,2013,36.161524478622596
Dominican Republic,2012,42.1654780647717
Dominican Republic,2011,39.2505768790315
Dominican Republic,2010,42.01653003937249
Dominican Republic,2009,38.8356111529173
Dominican Republic,2008,34.8776590742032
Dominican Republic,2007,20.820154371763
Ecuador,2020,57.6842448223679
Ecuador,2019,49.0770932855837
Ecuador,2018,47.4748327046376
Ecuador,2017,90.79267475870701
Ecuador,2016,88.5286042893015
Ecuador,2015,91.868735049769
Ecuador,2014,92.7803771003995
Ecuador,2012,89.5465209982456
Ecuador,2011,60.0584320329376
Ecuador,2010,86.2022968007306
Ecuador,2008,84.6669258773835
"Egypt, Arab Rep.",2017,95.7676014305194
"Egypt, Arab Rep.",2008,60.2901568569083
El Salvador,2019,91.0437389725595
El Salvador,2018,91.4867595007487
El Salvador,2017,91.8871797755969
El Salvador,2016,93.26617826149348
El Salvador,2015,93.91448324166268
El Salvador,2014,72.6562518368854
El Salvador,2012,93.2329544498983
El Salvador,2011,75.4275227519196
El Salvador,2010,78.7899181220846
El Salvador,2009,68.0215384288896
El Salvador,2008,56.63423682616601
El Salvador,2007,53.1865224564363
Eswatini,2016,96.86064547960548
Ethiopia,2018,30.136431316080596
Ethiopia,2015,21.3982571054561
Fiji,2013,41.1260506273393
Fiji,2008,15.9232188795143
Gabon,2017,50.14969793962641
Gabon,2005,54.9321734439777
"Gambia, The",2015,3.15865862624142
"Gambia, The",2010,6.0804308535886
Georgia,2021,74.6143468899182
Georgia,2020,73.7895122063934
Georgia,2019,77.2547533483073
Georgia,2018,75.7543410553321
Georgia,2017,70.9512880173142
Georgia,2016,70.5916591357049
Georgia,2015,72.0462240093834
Georgia,2014,69.5115704701155
Georgia,2013,69.3404071279558
Georgia,2012,69.6812107500655
Georgia,2011,77.7593011117277
Ghana,2016,16.9594045261057
Ghana,2012,64.0274759824704
Ghana,2005,3.2760277364239103
Guatemala,2014,72.1973349095938
Guatemala,2011,78.8736305001889
Guatemala,2006,60.274146268463404
Guinea,2012,2.02922377269708
Haiti,2012,21.534604317227
Haiti,2001,
Honduras,2019,22.34161238472919
Honduras,2018,30.3822807396048
Honduras,2017,59.0740772442502
Honduras,2016,53.0909681271654
Honduras,2015,67.4857304731261
Honduras,2013,69.5326089837802
Honduras,2011,63.80207049847711
Honduras,2010,69.0680782377516
Honduras,2009,61.746939485247
Honduras,2008,67.7522285083116
Hungary,2007,97.34177132137219
"Iran, Islamic Rep.",2018,17.1116375724764
Iraq,2012,89.4512030623849
Iraq,2006,89.9516891861552
Jamaica,2017,71.5630142975679
Jamaica,2010,72.4722384570427
Jamaica,2002,47.244480784955
Jordan,2010,85.131802399869
Jordan,2006,87.3438460581186
Kazakhstan,2017,56.1101053769365
Kazakhstan,2015,58.8086903984559
Kazakhstan,2014,77.2235329070805
Kazakhstan,2010,61.8681071222892
Kenya,2015,34.67810587542759
Kenya,2005,34.7253096070413
Kiribati,2006,
Kosovo,2017,54.841676676214504
Kosovo,2013,56.99794356301789
Kosovo,2012,62.6691662845788
Kosovo,2011,60.6257484902484
Kosovo,2006,32.6604002257696
Kyrgyz Republic,2020,57.83672923030531
Kyrgyz Republic,2019,59.4517053948752
Kyrgyz Republic,2013,63.50434504539151
Kyrgyz Republic,2012,61.0921951207991
Kyrgyz Republic,2011,64.7230562722529
Kyrgyz Republic,2006,44.22728443854259
Lao PDR,2018,0.76401069630841
Lao PDR,2007,0.29575294349139
