country,year,income_cat,axfin
Afghanistan,2011,q1,0.0
Afghanistan,2011,q2,0.0
Afghanistan,2011,q3,0.24673082231460614
Afghanistan,2011,q4,0.10999054687526778
Afghanistan,2011,q5,0.24456139178914524
Afghanistan,2014,q1,0.015405060349060385
Afghanistan,2014,q2,0.029266831890429792
Afghanistan,2014,q3,0.03283378896540468
Afghanistan,2014,q4,0.045413409313651565
Afghanistan,2014,q5,0.054886482173382205
Afghanistan,2017,q1,0.016736810728333197
Afghanistan,2017,q2,0.03961858347631847
Afghanistan,2017,q3,0.035422042435574216
Afghanistan,2017,q4,0.020081621151451595
Afghanistan,2017,q5,0.07130052266166985
Afghanistan,2021,q1,0.008149893884208425
Afghanistan,2021,q2,0.005354150546953299
Afghanistan,2021,q3,0.0033595052575174835
Afghanistan,2021,q4,0.0015152853981981378
Afghanistan,2021,q5,0.04841110565252067
Albania,2011,q1,0.48772458813957065
Albania,2011,q2,0.4403225827417854
Albania,2011,q3,0.2986623185932145
Albania,2011,q4,0.39544118950591256
Albania,2011,q5,0.32286106525795083
Albania,2014,q1,0.038806025799071955
Albania,2014,q2,0.05096696616222553
Albania,2014,q3,0.05308779330418252
Albania,2014,q4,0.07087977335834587
Albania,2014,q5,0.1593808803976003
Albania,2017,q1,0.02858948669380088
Albania,2017,q2,0.03563060126055961
Albania,2017,q3,0.0859926217400049
Albania,2017,q4,0.07870122265120841
Albania,2017,q5,0.20376859097994457
Albania,2021,q1,0.03074796480063802
Albania,2021,q2,0.07669776033636684
Albania,2021,q3,0.08270326171325665
Albania,2021,q4,0.08562918840612765
Albania,2021,q5,0.2068132807901691
Algeria,2011,q1,0.027355390627684897
Algeria,2011,q2,0.08247250369041946
Algeria,2011,q3,0.13357601681494172
Algeria,2011,q4,0.2214139716696834
Algeria,2011,q5,0.3205617988345226
Algeria,2014,q1,0.10398472218276336
Algeria,2014,q2,0.09948547656506569
Algeria,2014,q3,0.15119426309450568
Algeria,2014,q4,0.16940843655138807
Algeria,2014,q5,0.1734648338089912
Algeria,2017,q1,0.02632530585808741
Algeria,2017,q2,0.0914649106155654
Algeria,2017,q3,0.13139682079987428
Algeria,2017,q4,0.10925395308698406
Algeria,2017,q5,0.21181936225184578
Algeria,2021,q1,0.07868018548408039
Algeria,2021,q2,0.10897083819864814
Algeria,2021,q3,0.17970600077195392
Algeria,2021,q4,0.18512654289990502
Algeria,2021,q5,0.24910399532336133
Angola,2011,q1,0.36017833329692966
Angola,2011,q2,0.3051923037801921
Angola,2011,q3,0.4597512592613249
Angola,2011,q4,0.45090767738049237
Angola,2011,q5,0.5327787230963151
Angola,2014,q1,0.03469659877458524
Angola,2014,q2,0.04569956286288792
Angola,2014,q3,0.1512590152016139
Angola,2014,q4,0.19012965686884892
Angola,2014,q5,0.3251495004262276
Argentina,2011,q1,0.05387800503372348
Argentina,2011,q2,0.0
Argentina,2011,q3,0.0945537585643946
Argentina,2011,q4,0.1988802427873409
Argentina,2011,q5,0.26185999594590714
Argentina,2014,q1,0.004823045155256449
Argentina,2014,q2,0.01732537732143407
Argentina,2014,q3,0.04758263352507936
Argentina,2014,q4,0.05036716460442715
Argentina,2014,q5,0.08374215008822213
Argentina,2017,q1,0.04074867330157844
Argentina,2017,q2,0.012687579156616904
Argentina,2017,q3,0.043253154070920175
Argentina,2017,q4,0.07175563422162717
Argentina,2017,q5,0.19130806361306316
Argentina,2021,q1,0.038359115226232296
Argentina,2021,q2,0.065731900431188
Argentina,2021,q3,0.03710941164190975
Argentina,2021,q4,0.1938859110476451
Argentina,2021,q5,0.22212701475974445
Armenia,2011,q1,0.0
Armenia,2011,q2,0.050854512015793246
Armenia,2011,q3,0.0
Armenia,2011,q4,0.17817421989367718
Armenia,2011,q5,0.08283819548182145
Armenia,2014,q1,0.0
Armenia,2014,q2,0.008490963575012615
Armenia,2014,q3,0.01664069058176642
Armenia,2014,q4,0.02648591215474067
Armenia,2014,q5,0.0317979220551921
Armenia,2017,q1,0.14754736267503327
Armenia,2017,q2,0.06385974028399066
Armenia,2017,q3,0.04898442876815449
Armenia,2017,q4,0.10096746712681169
Armenia,2017,q5,0.13959855108239314
Armenia,2021,q1,0.047900489940754874
Armenia,2021,q2,0.02074712368342986
Armenia,2021,q3,0.0669766165796398
Armenia,2021,q4,0.04166427020017039
Armenia,2021,q5,0.10260414011354017
Australia,2011,q1,0.8654849713385696
Australia,2011,q2,0.9549876129264018
Australia,2011,q3,0.9091283248851608
Australia,2011,q4,0.8990744806336327
Australia,2011,q5,0.9104299692146707
Australia,2014,q1,0.44792769244452396
Australia,2014,q2,0.5229704959356912
Australia,2014,q3,0.6306933259539026
Australia,2014,q4,0.7166989455453662
Australia,2014,q5,0.7662546602444712
Australia,2017,q1,0.38509348474156346
Australia,2017,q2,0.5798283915844026
Australia,2017,q3,0.6577873733466311
Australia,2017,q4,0.7221013849871373
Australia,2017,q5,0.7597577916639587
Australia,2021,q1,0.5155466474380117
Australia,2021,q2,0.6296838891562465
Australia,2021,q3,0.7270432805527772
Australia,2021,q4,0.7461748339028289
Australia,2021,q5,0.8395599018246677
Austria,2011,q1,0.5804123491216214
Austria,2011,q2,0.5480173800224675
Austria,2011,q3,0.6341491635144578
Austria,2011,q4,0.757088436102007
Austria,2011,q5,0.7704610750399269
Austria,2014,q1,0.411657807421411
Austria,2014,q2,0.5611110956312612
Austria,2014,q3,0.6640165754904163
Austria,2014,q4,0.6517489765374245
Austria,2014,q5,0.7401822626044254
Austria,2017,q1,0.42164266470530865
Austria,2017,q2,0.4839795283492486
Austria,2017,q3,0.589803309522538
Austria,2017,q4,0.6108286233477042
Austria,2017,q5,0.6826359324280936
Austria,2021,q1,0.6638382115932856
Austria,2021,q2,0.6853923440884614
Austria,2021,q3,0.6872906804953757
Austria,2021,q4,0.6233226173406197
Austria,2021,q5,0.6738866481292712
Azerbaijan,2011,q1,0.0
Azerbaijan,2011,q2,0.025699784511361973
Azerbaijan,2011,q3,0.35571492484298417
Azerbaijan,2011,q4,0.15364395711548673
Azerbaijan,2011,q5,0.12018900916789393
Azerbaijan,2014,q1,0.04340874622986689
Azerbaijan,2014,q2,0.041950769030234536
Azerbaijan,2014,q3,0.04829311328260278
Azerbaijan,2014,q4,0.07243019212496792
Azerbaijan,2014,q5,0.060697526117119927
Azerbaijan,2017,q1,0.022827746308314897
Azerbaijan,2017,q2,0.018565159835319298
Azerbaijan,2017,q3,0.03240089016923567
Azerbaijan,2017,q4,0.02109470999716653
Azerbaijan,2017,q5,0.13102656328545367
Azerbaijan,2022,q1,0.009643101921256237
Azerbaijan,2022,q2,0.0067766771503430506
Azerbaijan,2022,q3,0.057411020517125586
Azerbaijan,2022,q4,0.06672267606843715
Azerbaijan,2022,q5,0.07738417733609501
Bahrain,2011,q1,0.4924660884174411
Bahrain,2011,q2,0.42126694193736863
Bahrain,2011,q3,0.4943118279441217
Bahrain,2011,q4,0.39565678166394147
Bahrain,2011,q5,0.2582894705029936
Bahrain,2014,q1,0.24448845160317081
Bahrain,2014,q2,0.28408142256564806
Bahrain,2014,q3,0.306954873895496
Bahrain,2014,q4,0.34335043747280913
Bahrain,2014,q5,0.5572106312337732
Bahrain,2017,q1,0.2632278875576436
Bahrain,2017,q2,0.3122893769993821
Bahrain,2017,q3,0.24640575044689775
Bahrain,2017,q4,0.29104071528586023
Bahrain,2017,q5,0.4220445295783989
Bangladesh,2011,q1,0.6168944792380354
Bangladesh,2011,q2,0.5781529319126782
Bangladesh,2011,q3,0.5646175513544348
Bangladesh,2011,q4,0.5795172924782493
Bangladesh,2011,q5,0.7304066733830923
Bangladesh,2014,q1,0.03333218982692969
Bangladesh,2014,q2,0.04330880219317438
Bangladesh,2014,q3,0.07204880900798427
Bangladesh,2014,q4,0.07423973616469215
Bangladesh,2014,q5,0.1565605877123083
